index_file_name,reporting_entity_name,reporting_entity_type,plan_id,plan_id_type,plan_name,plan_market_type,in_network_files_description,in_network_files_location,allowed_amount_file_description,allowed_amount_file_location,last_updated_on,ProductName,CustomerName
2024-05-01_ACME-TRUCK-LINE-INC-GROUP-HEALTH-BENEFIT-PLAN_index.json,UMR-Inc,Third-Party Administrator,720540787,EIN,ACME-TRUCK-LINE-INC-GROUP-HEALTH-BENEFIT-PLAN,group,null,null,allowed amount file,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_ACME-TRUCK-LINE-INC-GROUP-HEALTH-BENEFIT-PLAN_ACME-TRUCK-LINE-INC-GROUP-HEALTH-BENEFIT-PLAN_allowed-amounts.json.gz,2024-05-19T08:57:54.683+0000,GROUP-HEALTH-BENEFIT-PLAN,ACME-TRUCK-LINE-INC
2024-05-01_ADAMS-ELECTRIC-COMPANY-INC-GROUP-HEALTH-BENEFIT-PLAN_index.json,UMR-Inc,Third-Party Administrator,560693887,EIN,ADAMS-ELECTRIC-COMPANY--INC--GROUP-HEALTH-BENEFIT-PLAN,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_UMR--Inc-_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_0L_in-network-rates.json.gz,null,null,2024-05-19T09:49:14.939+0000,GROUP-HEALTH-BENEFIT-PLAN,ADAMS-ELECTRIC-COMPANY-INC
2024-05-01_AA-TEMPERATURE-CONTROLLED-LLC-GROUP-HEALTH-BENEFIT-PLAN_index.json,UMR-Inc,Third-Party Administrator,460657493,EIN,AA-TEMPERATURE-CONTROLLED--LLC-GROUP-HEALTH-BENEFIT-PLAN,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_UMR--Inc-_Third-Party-Administrator_UNITEDHEALTHCARE-SANFORD-HEALTH-CSP-DCI_UNITEDHEALTHCARE-CHOICE-PLUS_-SHS_0L_in-network-rates.json.gz,null,null,2024-05-19T08:36:25.539+0000,GROUP-HEALTH-BENEFIT-PLAN,AA-TEMPERATURE-CONTROLLED-LLC
2024-05-01_A-AND-A-OPTICAL-COMPANY_index.json,United-HealthCare-Services-Inc,Third-Party Administrator,260594904,EIN,United-Healthcare-EPO,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_United-HealthCare-Services--Inc-_Third-Party-Administrator_Choice-EPO_561_in-network-rates.json.gz,null,null,2024-05-19T08:25:01.526+0000,EPO,A-AND-A-OPTICAL-COMPANY
2024-05-01_ACT-FOR-HEALTH-DBA-PROFESSIONAL-CASE-MANAGEMENT_index.json,Surest,Third-Party Administrator,841383042,EIN,ACT-FOR-HEALTH-DBA-PROFESSIONAL-CASE-MANAGEMENT,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_Surest_Third-Party-Administrator_DOCTORS-ON-DEMAND_UNITEDHEALTHCARE-CHOICE-PLUS_-DD_ENPA_in-network-rates.json.gz,allowed amount file,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_ACT-FOR-HEALTH-DBA-PROFESSIONAL-CASE-MANAGEMENT_ACT-FOR-HEALTH-DBA-PROFESSIONAL-CASE-MANAGEMENT_allowed-amounts.json.gz,2024-05-19T09:00:39.965+0000,null,ACT-FOR-HEALTH-DBA-PROFESSIONAL-CASE-MANAGEMENT
2024-05-01_A-AND-A-OPTICAL-COMPANY_index.json,United-HealthCare-Services-Inc,Third-Party Administrator,751431211,EIN,UHC-EPO-Gated-INN-Only---ASO,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_United-HealthCare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,allowed amount file,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_A-AND-A-OPTICAL-COMPANY_UHC-EPO-Gated-INN-Only---ASO_allowed-amounts.json.gz,2024-05-19T08:25:01.526+0000,EPO,A-AND-A-OPTICAL-COMPANY
2024-05-01_A-L-SCHUTZMAN-COMPANY-INC-GROUP-HEALTH-BENEFIT-PLAN_index.json,UMR-Inc,Third-Party Administrator,390602420,EIN,A-L-SCHUTZMAN-COMPANY-INC-GROUP-HEALTH-BENEFIT-PLAN,group,null,null,allowed amount file,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_A-L-SCHUTZMAN-COMPANY-INC-GROUP-HEALTH-BENEFIT-PLAN_A-L-SCHUTZMAN-COMPANY-INC-GROUP-HEALTH-BENEFIT-PLAN_allowed-amounts.json.gz,2024-05-19T08:30:09.409+0000,GROUP-HEALTH-BENEFIT-PLAN,A-L-SCHUTZMAN-COMPANY-INC
2024-05-01_A-BETTERWAY-RENT-A-CAR-INC-GROUP-BENEFIT-PLAN_index.json,UMR-Inc,Third-Party Administrator,581297538,EIN,A-BETTERWAY-RENT-A-CAR-INC-GROUP-BENEFIT-PLAN,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_UMR--Inc-_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_0L_in-network-rates.json.gz,allowed amount file,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_A-BETTERWAY-RENT-A-CAR-INC-GROUP-BENEFIT-PLAN_A-BETTERWAY-RENT-A-CAR-INC-GROUP-BENEFIT-PLAN_allowed-amounts.json.gz,2024-05-19T08:28:08.788+0000,GROUP-BENEFIT-PLAN,A-BETTERWAY-RENT-A-CAR-INC
2024-05-01_ABB-CONCISE-OPTICAL-GROUP-LLC-GROUP-BENEFIT-PLAN_index.json,UMR-Inc,Third-Party Administrator,510626564,EIN,ABB-CONCISE-OPTICAL-GROUP-LLC-GROUP-BENEFIT-PLAN,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_UMR--Inc-_Third-Party-Administrator_UNITEDHEALTHCARE-CHOICE-PLUS_0L_in-network-rates.json.gz,allowed amount file,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_ABB-CONCISE-OPTICAL-GROUP-LLC-GROUP-BENEFIT-PLAN_ABB-CONCISE-OPTICAL-GROUP-LLC-GROUP-BENEFIT-PLAN_allowed-amounts.json.gz,2024-05-19T08:40:26.026+0000,GROUP-BENEFIT-PLAN,ABB-CONCISE-OPTICAL-GROUP-LLC
2024-05-01_A-AND-A-OPTICAL-COMPANY_index.json,United-HealthCare-Services-Inc,Third-Party Administrator,260594904,EIN,United-Healthcare-EPO,group,in-network files,https://transparency-in-coverage.uhc.com/api/v1/uhc/blobs/download?fd=2024-05-01&fn=2024-05-01_United-HealthCare-Services--Inc-_Third-Party-Administrator_OHPH-Acupuncture-Massage-Naturopath_31_in-network-rates.json.gz,null,null,2024-05-19T08:25:01.526+0000,EPO,A-AND-A-OPTICAL-COMPANY
